Date,GEO,value,Age,Sex,Characteristics
2018-01-06,Nova Scotia,205,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Nova Scotia,110,"Age at time of death, all ages",Males,Number of deaths
2018-01-06,Nova Scotia,95,"Age at time of death, all ages",Females,Number of deaths
2018-01-06,Nova Scotia,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Nova Scotia,0,"Age at time of death, 0 to 44 years",Males,Number of deaths
2018-01-06,Nova Scotia,5,"Age at time of death, 0 to 44 years",Females,Number of deaths
2018-01-06,Nova Scotia,30,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Nova Scotia,20,"Age at time of death, 45 to 64 years",Males,Number of deaths
2018-01-06,Nova Scotia,10,"Age at time of death, 45 to 64 years",Females,Number of deaths
2018-01-06,Nova Scotia,105,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Nova Scotia,65,"Age at time of death, 65 to 84 years",Males,Number of deaths
2018-01-06,Nova Scotia,45,"Age at time of death, 65 to 84 years",Females,Number of deaths
2018-01-06,Nova Scotia,70,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Nova Scotia,30,"Age at time of death, 85 years and over",Males,Number of deaths
2018-01-06,Nova Scotia,40,"Age at time of death, 85 years and over",Females,Number of deaths
2018-01-06,New Brunswick,180,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,New Brunswick,90,"Age at time of death, all ages",Males,Number of deaths
2018-01-06,New Brunswick,95,"Age at time of death, all ages",Females,Number of deaths
2018-01-06,New Brunswick,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,New Brunswick,0,"Age at time of death, 0 to 44 years",Males,Number of deaths
2018-01-06,New Brunswick,5,"Age at time of death, 0 to 44 years",Females,Number of deaths
2018-01-06,New Brunswick,35,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,New Brunswick,20,"Age at time of death, 45 to 64 years",Males,Number of deaths
2018-01-06,New Brunswick,15,"Age at time of death, 45 to 64 years",Females,Number of deaths
2018-01-06,New Brunswick,75,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,New Brunswick,40,"Age at time of death, 65 to 84 years",Males,Number of deaths
2018-01-06,New Brunswick,35,"Age at time of death, 65 to 84 years",Females,Number of deaths
2018-01-06,New Brunswick,70,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,New Brunswick,30,"Age at time of death, 85 years and over",Males,Number of deaths
2018-01-06,New Brunswick,40,"Age at time of death, 85 years and over",Females,Number of deaths
2018-01-06,Quebec,1600,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Quebec,795,"Age at time of death, all ages",Males,Number of deaths
2018-01-06,Quebec,810,"Age at time of death, all ages",Females,Number of deaths
2018-01-06,Quebec,55,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Quebec,35,"Age at time of death, 0 to 44 years",Males,Number of deaths
2018-01-06,Quebec,15,"Age at time of death, 0 to 44 years",Females,Number of deaths
2018-01-06,Quebec,205,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Quebec,125,"Age at time of death, 45 to 64 years",Males,Number of deaths
2018-01-06,Quebec,80,"Age at time of death, 45 to 64 years",Females,Number of deaths
2018-01-06,Quebec,695,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Quebec,380,"Age at time of death, 65 to 84 years",Males,Number of deaths
2018-01-06,Quebec,315,"Age at time of death, 65 to 84 years",Females,Number of deaths
2018-01-06,Quebec,650,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Quebec,250,"Age at time of death, 85 years and over",Males,Number of deaths
2018-01-06,Quebec,400,"Age at time of death, 85 years and over",Females,Number of deaths
2018-01-06,Ontario,2465,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Ontario,1270,"Age at time of death, all ages",Males,Number of deaths
2018-01-06,Ontario,1195,"Age at time of death, all ages",Females,Number of deaths
2018-01-06,Ontario,105,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Ontario,70,"Age at time of death, 0 to 44 years",Males,Number of deaths
2018-01-06,Ontario,35,"Age at time of death, 0 to 44 years",Females,Number of deaths
2018-01-06,Ontario,365,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Ontario,225,"Age at time of death, 45 to 64 years",Males,Number of deaths
2018-01-06,Ontario,140,"Age at time of death, 45 to 64 years",Females,Number of deaths
2018-01-06,Ontario,1055,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Ontario,600,"Age at time of death, 65 to 84 years",Males,Number of deaths
2018-01-06,Ontario,460,"Age at time of death, 65 to 84 years",Females,Number of deaths
2018-01-06,Ontario,940,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Ontario,380,"Age at time of death, 85 years and over",Males,Number of deaths
2018-01-06,Ontario,555,"Age at time of death, 85 years and over",Females,Number of deaths
2018-01-06,Manitoba,280,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Manitoba,135,"Age at time of death, all ages",Males,Number of deaths
2018-01-06,Manitoba,135,"Age at time of death, all ages",Females,Number of deaths
2018-01-06,Manitoba,15,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Manitoba,10,"Age at time of death, 0 to 44 years",Males,Number of deaths
2018-01-06,Manitoba,5,"Age at time of death, 0 to 44 years",Females,Number of deaths
2018-01-06,Manitoba,55,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Manitoba,30,"Age at time of death, 45 to 64 years",Males,Number of deaths
2018-01-06,Manitoba,20,"Age at time of death, 45 to 64 years",Females,Number of deaths
2018-01-06,Manitoba,115,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Manitoba,65,"Age at time of death, 65 to 84 years",Males,Number of deaths
2018-01-06,Manitoba,55,"Age at time of death, 65 to 84 years",Females,Number of deaths
2018-01-06,Manitoba,90,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Manitoba,35,"Age at time of death, 85 years and over",Males,Number of deaths
2018-01-06,Manitoba,55,"Age at time of death, 85 years and over",Females,Number of deaths
2018-01-06,Saskatchewan,235,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Saskatchewan,125,"Age at time of death, all ages",Males,Number of deaths
2018-01-06,Saskatchewan,115,"Age at time of death, all ages",Females,Number of deaths
2018-01-06,Saskatchewan,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Saskatchewan,5,"Age at time of death, 0 to 44 years",Males,Number of deaths
2018-01-06,Saskatchewan,0,"Age at time of death, 0 to 44 years",Females,Number of deaths
2018-01-06,Saskatchewan,30,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Saskatchewan,20,"Age at time of death, 45 to 64 years",Males,Number of deaths
2018-01-06,Saskatchewan,10,"Age at time of death, 45 to 64 years",Females,Number of deaths
2018-01-06,Saskatchewan,90,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Saskatchewan,55,"Age at time of death, 65 to 84 years",Males,Number of deaths
2018-01-06,Saskatchewan,35,"Age at time of death, 65 to 84 years",Females,Number of deaths
2018-01-06,Saskatchewan,105,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Saskatchewan,45,"Age at time of death, 85 years and over",Males,Number of deaths
2018-01-06,Saskatchewan,60,"Age at time of death, 85 years and over",Females,Number of deaths
2018-01-06,Alberta,630,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Alberta,330,"Age at time of death, all ages",Males,Number of deaths
2018-01-06,Alberta,295,"Age at time of death, all ages",Females,Number of deaths
2018-01-06,Alberta,30,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Alberta,20,"Age at time of death, 0 to 44 years",Males,Number of deaths
2018-01-06,Alberta,15,"Age at time of death, 0 to 44 years",Females,Number of deaths
2018-01-06,Alberta,105,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Alberta,70,"Age at time of death, 45 to 64 years",Males,Number of deaths
2018-01-06,Alberta,35,"Age at time of death, 45 to 64 years",Females,Number of deaths
2018-01-06,Alberta,265,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Alberta,155,"Age at time of death, 65 to 84 years",Males,Number of deaths
2018-01-06,Alberta,105,"Age at time of death, 65 to 84 years",Females,Number of deaths
2018-01-06,Alberta,225,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Alberta,85,"Age at time of death, 85 years and over",Males,Number of deaths
2018-01-06,Alberta,140,"Age at time of death, 85 years and over",Females,Number of deaths
2018-01-06,British Columbia,875,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,British Columbia,455,"Age at time of death, all ages",Males,Number of deaths
2018-01-06,British Columbia,425,"Age at time of death, all ages",Females,Number of deaths
2018-01-06,British Columbia,50,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,British Columbia,40,"Age at time of death, 0 to 44 years",Males,Number of deaths
2018-01-06,British Columbia,10,"Age at time of death, 0 to 44 years",Females,Number of deaths
2018-01-06,British Columbia,130,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,British Columbia,90,"Age at time of death, 45 to 64 years",Males,Number of deaths
2018-01-06,British Columbia,40,"Age at time of death, 45 to 64 years",Females,Number of deaths
2018-01-06,British Columbia,345,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,British Columbia,175,"Age at time of death, 65 to 84 years",Males,Number of deaths
2018-01-06,British Columbia,170,"Age at time of death, 65 to 84 years",Females,Number of deaths
2018-01-06,British Columbia,355,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,British Columbia,150,"Age at time of death, 85 years and over",Males,Number of deaths
2018-01-06,British Columbia,205,"Age at time of death, 85 years and over",Females,Number of deaths
2018-01-06,Yukon,,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Yukon,,"Age at time of death, all ages",Males,Number of deaths
2018-01-06,Yukon,,"Age at time of death, all ages",Females,Number of deaths
2018-01-06,Yukon,,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Yukon,,"Age at time of death, 0 to 44 years",Males,Number of deaths
2018-01-06,Yukon,,"Age at time of death, 0 to 44 years",Females,Number of deaths
2018-01-06,Yukon,,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Yukon,,"Age at time of death, 45 to 64 years",Males,Number of deaths
2018-01-06,Yukon,,"Age at time of death, 45 to 64 years",Females,Number of deaths
2018-01-06,Yukon,,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Yukon,,"Age at time of death, 65 to 84 years",Males,Number of deaths
2018-01-06,Yukon,,"Age at time of death, 65 to 84 years",Females,Number of deaths
2018-01-06,Yukon,,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Yukon,,"Age at time of death, 85 years and over",Males,Number of deaths
2018-01-06,Yukon,,"Age at time of death, 85 years and over",Females,Number of deaths
2018-01-06,Northwest Territories,5,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Northwest Territories,5,"Age at time of death, all ages",Males,Number of deaths
2018-01-06,Northwest Territories,5,"Age at time of death, all ages",Females,Number of deaths
2018-01-06,Northwest Territories,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Northwest Territories,0,"Age at time of death, 0 to 44 years",Males,Number of deaths
2018-01-06,Northwest Territories,5,"Age at time of death, 0 to 44 years",Females,Number of deaths
2018-01-06,Northwest Territories,0,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Northwest Territories,0,"Age at time of death, 45 to 64 years",Males,Number of deaths
2018-01-06,Northwest Territories,0,"Age at time of death, 45 to 64 years",Females,Number of deaths
2018-01-06,Northwest Territories,5,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Northwest Territories,0,"Age at time of death, 65 to 84 years",Males,Number of deaths
2018-01-06,Northwest Territories,0,"Age at time of death, 65 to 84 years",Females,Number of deaths
2018-01-06,Northwest Territories,0,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Northwest Territories,5,"Age at time of death, 85 years and over",Males,Number of deaths
2018-01-06,Northwest Territories,0,"Age at time of death, 85 years and over",Females,Number of deaths
2018-01-06,Nunavut,5,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Nunavut,5,"Age at time of death, all ages",Males,Number of deaths
2018-01-06,Nunavut,5,"Age at time of death, all ages",Females,Number of deaths
2018-01-06,Nunavut,0,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Nunavut,0,"Age at time of death, 0 to 44 years",Males,Number of deaths
2018-01-06,Nunavut,5,"Age at time of death, 0 to 44 years",Females,Number of deaths
2018-01-06,Nunavut,5,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Nunavut,0,"Age at time of death, 45 to 64 years",Males,Number of deaths
2018-01-06,Nunavut,5,"Age at time of death, 45 to 64 years",Females,Number of deaths
2018-01-06,Nunavut,0,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Nunavut,0,"Age at time of death, 65 to 84 years",Males,Number of deaths
2018-01-06,Nunavut,0,"Age at time of death, 65 to 84 years",Females,Number of deaths
2018-01-06,Nunavut,0,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Nunavut,0,"Age at time of death, 85 years and over",Males,Number of deaths
2018-01-06,Nunavut,0,"Age at time of death, 85 years and over",Females,Number of deaths
2018-01-13,Canada,6660,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-13,Canada,3255,"Age at time of death, all ages",Males,Number of deaths
2018-01-13,Canada,3405,"Age at time of death, all ages",Females,Number of deaths
2018-01-13,Canada,260,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-13,Canada,155,"Age at time of death, 0 to 44 years",Males,Number of deaths
2018-01-13,Canada,105,"Age at time of death, 0 to 44 years",Females,Number of deaths
2018-01-13,Canada,880,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-13,Canada,520,"Age at time of death, 45 to 64 years",Males,Number of deaths
2018-01-13,Canada,355,"Age at time of death, 45 to 64 years",Females,Number of deaths
2018-01-13,Canada,2805,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-13,Canada,1580,"Age at time of death, 65 to 84 years",Males,Number of deaths
2018-01-13,Canada,1220,"Age at time of death, 65 to 84 years",Females,Number of deaths
2018-01-13,Canada,2720,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-13,Canada,995,"Age at time of death, 85 years and over",Males,Number of deaths
2018-01-13,Canada,1725,"Age at time of death, 85 years and over",Females,Number of deaths
2018-01-13,Newfoundland and Labrador,110,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-13,Newfoundland and Labrador,55,"Age at time of death, all ages",Males,Number of deaths
2018-01-13,Newfoundland and Labrador,60,"Age at time of death, all ages",Females,Number of deaths
2018-01-13,Newfoundland and Labrador,0,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-13,Newfoundland and Labrador,5,"Age at time of death, 0 to 44 years",Males,Number of deaths
2018-01-13,Newfoundland and Labrador,0,"Age at time of death, 0 to 44 years",Females,Number of deaths
2018-01-13,Newfoundland and Labrador,20,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-13,Newfoundland and Labrador,15,"Age at time of death, 45 to 64 years",Males,Number of deaths
2018-01-13,Newfoundland and Labrador,10,"Age at time of death, 45 to 64 years",Females,Number of deaths
2018-01-13,Newfoundland and Labrador,55,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-13,Newfoundland and Labrador,30,"Age at time of death, 65 to 84 years",Males,Number of deaths
2018-01-13,Newfoundland and Labrador,25,"Age at time of death, 65 to 84 years",Females,Number of deaths
2018-01-13,Newfoundland and Labrador,35,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-13,Newfoundland and Labrador,10,"Age at time of death, 85 years and over",Males,Number of deaths
2018-01-13,Newfoundland and Labrador,25,"Age at time of death, 85 years and over",Females,Number of deaths
2018-01-13,Prince Edward Island,25,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-13,Prince Edward Island,15,"Age at time of death, all ages",Males,Number of deaths
2018-01-13,Prince Edward Island,10,"Age at time of death, all ages",Females,Number of deaths
2018-01-13,Prince Edward Island,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-13,Prince Edward Island,0,"Age at time of death, 0 to 44 years",Males,Number of deaths
2018-01-13,Prince Edward Island,0,"Age at time of death, 0 to 44 years",Females,Number of deaths
2018-01-13,Prince Edward Island,0,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-13,Prince Edward Island,0,"Age at time of death, 45 to 64 years",Males,Number of deaths
2018-01-13,Prince Edward Island,0,"Age at time of death, 45 to 64 years",Females,Number of deaths
2018-01-13,Prince Edward Island,15,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-13,Prince Edward Island,10,"Age at time of death, 65 to 84 years",Males,Number of deaths
2018-01-13,Prince Edward Island,5,"Age at time of death, 65 to 84 years",Females,Number of deaths
2018-01-13,Prince Edward Island,10,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-13,Prince Edward Island,5,"Age at time of death, 85 years and over",Males,Number of deaths
2018-01-13,Prince Edward Island,5,"Age at time of death, 85 years and over",Females,Number of deaths
2018-01-13,Nova Scotia,190,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-13,Nova Scotia,105,"Age at time of death, all ages",Males,Number of deaths
2018-01-13,Nova Scotia,90,"Age at time of death, all ages",Females,Number of deaths
2018-01-13,Nova Scotia,10,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-13,Nova Scotia,5,"Age at time of death, 0 to 44 years",Males,Number of deaths
2018-01-13,Nova Scotia,0,"Age at time of death, 0 to 44 years",Females,Number of deaths
2018-01-13,Nova Scotia,35,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-13,Nova Scotia,25,"Age at time of death, 45 to 64 years",Males,Number of deaths
2018-01-13,Nova Scotia,10,"Age at time of death, 45 to 64 years",Females,Number of deaths
2018-01-13,Nova Scotia,95,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-13,Nova Scotia,55,"Age at time of death, 65 to 84 years",Males,Number of deaths
2018-01-13,Nova Scotia,35,"Age at time of death, 65 to 84 years",Females,Number of deaths
2018-01-13,Nova Scotia,55,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-13,Nova Scotia,25,"Age at time of death, 85 years and over",Males,Number of deaths
2018-01-13,Nova Scotia,35,"Age at time of death, 85 years and over",Females,Number of deaths
2018-01-13,New Brunswick,185,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-13,New Brunswick,95,"Age at time of death, all ages",Males,Number of deaths
2018-01-13,New Brunswick,90,"Age at time of death, all ages",Females,Number of deaths
2018-01-13,New Brunswick,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-13,New Brunswick,5,"Age at time of death, 0 to 44 years",Males,Number of deaths
2018-01-13,New Brunswick,0,"Age at time of death, 0 to 44 years",Females,Number of deaths
2018-01-13,New Brunswick,30,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-13,New Brunswick,20,"Age at time of death, 45 to 64 years",Males,Number of deaths
2018-01-13,New Brunswick,10,"Age at time of death, 45 to 64 years",Females,Number of deaths
2018-01-13,New Brunswick,85,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-13,New Brunswick,50,"Age at time of death, 65 to 84 years",Males,Number of deaths
2018-01-13,New Brunswick,40,"Age at time of death, 65 to 84 years",Females,Number of deaths
2018-01-13,New Brunswick,60,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-13,New Brunswick,20,"Age at time of death, 85 years and over",Males,Number of deaths
2018-01-13,New Brunswick,45,"Age at time of death, 85 years and over",Females,Number of deaths
2018-01-13,Quebec,1685,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-13,Quebec,785,"Age at time of death, all ages",Males,Number of deaths
2018-01-13,Quebec,895,"Age at time of death, all ages",Females,Number of deaths
2018-01-13,Quebec,40,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-13,Quebec,30,"Age at time of death, 0 to 44 years",Males,Number of deaths
2018-01-13,Quebec,10,"Age at time of death, 0 to 44 years",Females,Number of deaths
2018-01-13,Quebec,195,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-13,Quebec,115,"Age at time of death, 45 to 64 years",Males,Number of deaths
2018-01-13,Quebec,75,"Age at time of death, 45 to 64 years",Females,Number of deaths
2018-01-13,Quebec,740,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-13,Quebec,400,"Age at time of death, 65 to 84 years",Males,Number of deaths
2018-01-13,Quebec,335,"Age at time of death, 65 to 84 years",Females,Number of deaths
2018-01-13,Quebec,710,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-13,Quebec,240,"Age at time of death, 85 years and over",Males,Number of deaths
2018-01-13,Quebec,465,"Age at time of death, 85 years and over",Females,Number of deaths
2018-01-13,Ontario,2560,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-13,Ontario,1260,"Age at time of death, all ages",Males,Number of deaths
2018-01-13,Ontario,1300,"Age at time of death, all ages",Females,Number of deaths
2018-01-13,Ontario,105,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-13,Ontario,50,"Age at time of death, 0 to 44 years",Males,Number of deaths
2018-01-13,Ontario,50,"Age at time of death, 0 to 44 years",Females,Number of deaths
2018-01-13,Ontario,355,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-13,Ontario,205,"Age at time of death, 45 to 64 years",Males,Number of deaths
2018-01-13,Ontario,150,"Age at time of death, 45 to 64 years",Females,Number of deaths
2018-01-13,Ontario,1050,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-13,Ontario,590,"Age at time of death, 65 to 84 years",Males,Number of deaths
2018-01-13,Ontario,465,"Age at time of death, 65 to 84 years",Females,Number of deaths
2018-01-13,Ontario,1050,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-13,Ontario,410,"Age at time of death, 85 years and over",Males,Number of deaths
2018-01-13,Ontario,640,"Age at time of death, 85 years and over",Females,Number of deaths
2018-01-13,Manitoba,270,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-13,Manitoba,120,"Age at time of death, all ages",Males,Number of deaths
2018-01-13,Manitoba,150,"Age at time of death, all ages",Females,Number of deaths
2018-01-13,Manitoba,10,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-13,Manitoba,5,"Age at time of death, 0 to 44 years",Males,Number of deaths
2018-01-13,Manitoba,5,"Age at time of death, 0 to 44 years",Females,Number of deaths
2018-01-13,Manitoba,35,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-13,Manitoba,20,"Age at time of death, 45 to 64 years",Males,Number of deaths
2018-01-13,Manitoba,10,"Age at time of death, 45 to 64 years",Females,Number of deaths
2018-01-13,Manitoba,100,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-13,Manitoba,55,"Age at time of death, 65 to 84 years",Males,Number of deaths
2018-01-13,Manitoba,45,"Age at time of death, 65 to 84 years",Females,Number of deaths
2018-01-13,Manitoba,120,"Age at time of death, 85 years and over",Both sexes,Number of deaths
