Date,GEO,value,Age,Sex,Characteristics
2018-01-13,Prince Edward Island,15,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-13,Prince Edward Island,10,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-13,Nova Scotia,190,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-13,Nova Scotia,10,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-13,Nova Scotia,35,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-13,Nova Scotia,95,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-13,Nova Scotia,55,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-13,New Brunswick,185,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-13,New Brunswick,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-13,New Brunswick,30,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-13,New Brunswick,85,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-13,New Brunswick,60,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-13,Quebec,1685,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-13,Quebec,40,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-13,Quebec,195,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-13,Quebec,740,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-13,Quebec,710,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-13,Ontario,2560,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-13,Ontario,105,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-13,Ontario,355,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-13,Ontario,1050,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-13,Ontario,1050,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-13,Manitoba,270,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-13,Manitoba,10,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-13,Manitoba,35,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-13,Manitoba,100,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-13,Manitoba,120,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-13,Saskatchewan,225,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-13,Saskatchewan,15,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-13,Saskatchewan,30,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-13,Saskatchewan,95,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-13,Saskatchewan,90,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-13,Alberta,575,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-13,Alberta,35,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-13,Alberta,100,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-13,Alberta,215,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-13,Alberta,225,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-13,British Columbia,825,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-13,British Columbia,35,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-13,British Columbia,90,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-13,British Columbia,340,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-13,British Columbia,350,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-13,Yukon,,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-13,Yukon,,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-13,Yukon,,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-13,Yukon,,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-13,Yukon,,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-13,Northwest Territories,0,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-13,Northwest Territories,0,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-13,Northwest Territories,5,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-13,Northwest Territories,0,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-13,Northwest Territories,0,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-13,Nunavut,5,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-13,Nunavut,0,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-13,Nunavut,0,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-13,Nunavut,0,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-13,Nunavut,0,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-20,Canada,6555,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-20,Canada,285,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-20,Canada,865,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-20,Canada,2790,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-20,Canada,2605,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-20,Newfoundland and Labrador,110,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-20,Newfoundland and Labrador,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-20,Newfoundland and Labrador,20,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-20,Newfoundland and Labrador,60,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-20,Newfoundland and Labrador,30,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-20,Prince Edward Island,35,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-20,Prince Edward Island,0,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-20,Prince Edward Island,0,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-20,Prince Edward Island,20,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-20,Prince Edward Island,10,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-20,Nova Scotia,220,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-20,Nova Scotia,10,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-20,Nova Scotia,35,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-20,Nova Scotia,100,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-20,Nova Scotia,75,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-20,New Brunswick,175,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-20,New Brunswick,10,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-20,New Brunswick,25,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-20,New Brunswick,65,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-20,New Brunswick,70,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-20,Quebec,1695,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-20,Quebec,40,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-20,Quebec,205,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-20,Quebec,785,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-20,Quebec,660,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-20,Ontario,2410,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-20,Ontario,90,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-20,Ontario,320,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-20,Ontario,990,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-20,Ontario,1015,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-20,Manitoba,270,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-20,Manitoba,20,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-20,Manitoba,35,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-20,Manitoba,100,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-20,Manitoba,115,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-20,Saskatchewan,205,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-20,Saskatchewan,15,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-20,Saskatchewan,25,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-20,Saskatchewan,75,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-20,Saskatchewan,90,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-20,Alberta,595,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-20,Alberta,60,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-20,Alberta,85,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-20,Alberta,255,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-20,Alberta,195,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-20,British Columbia,840,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-20,British Columbia,45,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-20,British Columbia,115,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-20,British Columbia,335,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-20,British Columbia,335,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-20,Yukon,,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-20,Yukon,,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-20,Yukon,,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-20,Yukon,,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-20,Yukon,,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-20,Northwest Territories,5,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-20,Northwest Territories,0,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-20,Northwest Territories,0,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-20,Northwest Territories,0,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-20,Northwest Territories,0,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-20,Nunavut,5,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-20,Nunavut,0,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-20,Nunavut,5,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-20,Nunavut,5,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-20,Nunavut,0,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-27,Canada,6440,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-27,Canada,255,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-27,Canada,935,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-27,Canada,2640,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-27,Canada,2610,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-27,Newfoundland and Labrador,100,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-27,Newfoundland and Labrador,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-27,Newfoundland and Labrador,20,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-27,Newfoundland and Labrador,50,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-27,Newfoundland and Labrador,30,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-27,Prince Edward Island,30,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-27,Prince Edward Island,0,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-27,Prince Edward Island,5,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-27,Prince Edward Island,10,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-27,Prince Edward Island,20,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-27,Nova Scotia,260,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-27,Nova Scotia,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-27,Nova Scotia,40,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-27,Nova Scotia,120,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-27,Nova Scotia,90,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-27,New Brunswick,150,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-27,New Brunswick,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-27,New Brunswick,25,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-27,New Brunswick,70,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-27,New Brunswick,60,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-27,Quebec,1615,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-27,Quebec,35,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-27,Quebec,200,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-27,Quebec,695,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-27,Quebec,685,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-27,Ontario,2430,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-27,Ontario,80,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-27,Ontario,340,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-27,Ontario,970,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-27,Ontario,1040,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-27,Manitoba,230,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-27,Manitoba,15,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-27,Manitoba,30,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-27,Manitoba,80,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-27,Manitoba,105,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-27,Saskatchewan,205,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-27,Saskatchewan,15,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-27,Saskatchewan,30,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-27,Saskatchewan,80,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-27,Saskatchewan,85,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-27,Alberta,540,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-27,Alberta,45,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-27,Alberta,95,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-27,Alberta,220,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-27,Alberta,175,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-27,British Columbia,865,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-27,British Columbia,55,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-27,British Columbia,140,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-27,British Columbia,340,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-27,British Columbia,325,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-27,Yukon,,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-27,Yukon,,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-27,Yukon,,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-27,Yukon,,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-27,Yukon,,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-27,Northwest Territories,5,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-27,Northwest Territories,0,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-27,Northwest Territories,5,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-27,Northwest Territories,0,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-27,Northwest Territories,0,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-27,Nunavut,5,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-27,Nunavut,0,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-27,Nunavut,0,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-27,Nunavut,5,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-27,Nunavut,0,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-02-03,Canada,6225,"Age at time of death, all ages",Both sexes,Number of deaths
2018-02-03,Canada,300,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-02-03,Canada,835,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-02-03,Canada,2635,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-02-03,Canada,2455,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-02-03,Newfoundland and Labrador,100,"Age at time of death, all ages",Both sexes,Number of deaths
2018-02-03,Newfoundland and Labrador,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-02-03,Newfoundland and Labrador,10,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-02-03,Newfoundland and Labrador,55,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-02-03,Newfoundland and Labrador,35,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-02-03,Prince Edward Island,30,"Age at time of death, all ages",Both sexes,Number of deaths
2018-02-03,Prince Edward Island,0,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-02-03,Prince Edward Island,5,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-02-03,Prince Edward Island,20,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-02-03,Prince Edward Island,5,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-02-03,Nova Scotia,195,"Age at time of death, all ages",Both sexes,Number of deaths
2018-02-03,Nova Scotia,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-02-03,Nova Scotia,30,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-02-03,Nova Scotia,90,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-02-03,Nova Scotia,80,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-02-03,New Brunswick,155,"Age at time of death, all ages",Both sexes,Number of deaths
2018-02-03,New Brunswick,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-02-03,New Brunswick,20,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-02-03,New Brunswick,80,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-02-03,New Brunswick,50,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-02-03,Quebec,1620,"Age at time of death, all ages",Both sexes,Number of deaths
2018-02-03,Quebec,65,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-02-03,Quebec,185,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-02-03,Quebec,665,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-02-03,Quebec,705,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-02-03,Ontario,2330,"Age at time of death, all ages",Both sexes,Number of deaths
2018-02-03,Ontario,100,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-02-03,Ontario,305,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-02-03,Ontario,1010,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
